,C_CUSTKEY,C_NAME,C_ADDRESS,C_NATIONKEY,C_PHONE,C_ACCTBAL,C_MKTSEGMENT,C_COMMENT,O_ORDERKEY,O_CUSTKEY,O_ORDERSTATUS,O_TOTALPRICE,O_ORDERDATE,O_ORDERPRIORITY,O_CLERK,O_SHIPPRIORITY,O_COMMENT,L_ORDERKEY,L_PARTKEY,L_SUPPKEY,L_LINENUMBER,L_QUANTITY,L_EXTENDEDPRICE,L_DISCOUNT,L_TAX,L_RETURNFLAG,L_LINESTATUS,L_SHIPDATE,L_COMMITDATE,L_RECEIPTDATE,L_SHIPINSTRUCT,L_SHIPMODE,L_COMMENT
120,652,Customer#000000652,"0WlNKsoRqdjU9,5 Qz,bgm5swI,i0Kg",20,30-254-389-5987,-919.65,AUTOMOBILE,p carefully blithely bold platelets. furiously unusual deposits wake. sl,43392,652,F,189647.45,1995-01-01,3-MEDIUM,Clerk#000000056,0,ly express instructions against the blithely ironic packages,43392,1921,66,3,35.00,63802.20,0.08,0.02,R,F,1995-04-10,1995-03-22,1995-04-26,TAKE BACK RETURN,MAIL,ic requests. quickly ironic packages w
121,652,Customer#000000652,"0WlNKsoRqdjU9,5 Qz,bgm5swI,i0Kg",20,30-254-389-5987,-919.65,AUTOMOBILE,p carefully blithely bold platelets. furiously unusual deposits wake. sl,43392,652,F,189647.45,1995-01-01,3-MEDIUM,Clerk#000000056,0,ly express instructions against the blithely ironic packages,43392,13,89,4,38.00,34694.38,0.04,0.03,A,F,1995-03-22,1995-03-29,1995-04-21,COLLECT COD,SHIP,special platelets. slyly permanent
122,656,Customer#000000656,DeZPec2K1U1fCBR2Ul9mnBNjKuXPcRcm,5,15-379-993-4446,-390.09,AUTOMOBILE,"uests cajole quickly. final, pending pinto beans wake furiously among the requests. ironic foxes with the forg",21824,656,F,29462.14,1995-02-08,5-LOW,Clerk#000000154,0,eodolites. slyly final requests along the r,21824,1141,14,1,24.00,25011.36,0.09,0.04,R,F,1995-04-21,1995-03-11,1995-05-15,COLLECT COD,AIR,egular instructions.
123,656,Customer#000000656,DeZPec2K1U1fCBR2Ul9mnBNjKuXPcRcm,5,15-379-993-4446,-390.09,AUTOMOBILE,"uests cajole quickly. final, pending pinto beans wake furiously among the requests. ironic foxes with the forg",21824,656,F,29462.14,1995-02-08,5-LOW,Clerk#000000154,0,eodolites. slyly final requests along the r,21824,1973,62,2,3.00,5624.91,0.01,0.04,A,F,1995-03-30,1995-04-19,1995-04-08,NONE,AIR,express packages. 
124,656,Customer#000000656,DeZPec2K1U1fCBR2Ul9mnBNjKuXPcRcm,5,15-379-993-4446,-390.09,AUTOMOBILE,"uests cajole quickly. final, pending pinto beans wake furiously among the requests. ironic foxes with the forg",31046,656,F,246364.21,1995-02-08,1-URGENT,Clerk#000000228,0,lyly even somas. iro,31046,1444,62,1,50.00,67272.00,0.06,0.07,A,F,1995-05-16,1995-03-14,1995-05-19,NONE,FOB,st among the furiously bold gifts
125,656,Customer#000000656,DeZPec2K1U1fCBR2Ul9mnBNjKuXPcRcm,5,15-379-993-4446,-390.09,AUTOMOBILE,"uests cajole quickly. final, pending pinto beans wake furiously among the requests. ironic foxes with the forg",31046,656,F,246364.21,1995-02-08,1-URGENT,Clerk#000000228,0,lyly even somas. iro,31046,344,73,2,25.00,31108.50,0.02,0.00,A,F,1995-05-07,1995-04-17,1995-05-22,NONE,SHIP,nal deposits are idl
126,656,Customer#000000656,DeZPec2K1U1fCBR2Ul9mnBNjKuXPcRcm,5,15-379-993-4446,-390.09,AUTOMOBILE,"uests cajole quickly. final, pending pinto beans wake furiously among the requests. ironic foxes with the forg",31046,656,F,246364.21,1995-02-08,1-URGENT,Clerk#000000228,0,lyly even somas. iro,31046,858,25,3,14.00,24623.90,0.09,0.04,R,F,1995-06-07,1995-05-09,1995-06-14,COLLECT COD,REG AIR, express instructions 
127,656,Customer#000000656,DeZPec2K1U1fCBR2Ul9mnBNjKuXPcRcm,5,15-379-993-4446,-390.09,AUTOMOBILE,"uests cajole quickly. final, pending pinto beans wake furiously among the requests. ironic foxes with the forg",31046,656,F,246364.21,1995-02-08,1-URGENT,Clerk#000000228,0,lyly even somas. iro,31046,560,21,6,32.00,46737.92,0.02,0.06,R,F,1995-04-17,1995-04-05,1995-05-04,TAKE BACK RETURN,RAIL,ns wake against the blithely pending a
128,656,Customer#000000656,DeZPec2K1U1fCBR2Ul9mnBNjKuXPcRcm,5,15-379-993-4446,-390.09,AUTOMOBILE,"uests cajole quickly. final, pending pinto beans wake furiously among the requests. ironic foxes with the forg",31046,656,F,246364.21,1995-02-08,1-URGENT,Clerk#000000228,0,lyly even somas. iro,31046,1611,35,7,23.00,34790.03,0.05,0.07,A,F,1995-05-06,1995-04-02,1995-05-30,DELIVER IN PERSON,REG AIR,"s. final, slow the"
129,667,Customer#000000667,"oQqeEC,OD9XC1JXyOsHqcpv0fPUdP9ek5KKb70tQ",6,16-917-453-2490,3288.76,AUTOMOBILE,lithely about the furiously sil,40356,667,F,96997.24,1994-12-20,4-NOT SPECIFIED,Clerk#000000948,0,to the blithely final the,40356,14,15,1,8.00,7312.08,0.06,0.02,A,F,1995-04-05,1995-02-24,1995-04-18,TAKE BACK RETURN,TRUCK,tegrate. regular theodolit
130,667,Customer#000000667,"oQqeEC,OD9XC1JXyOsHqcpv0fPUdP9ek5KKb70tQ",6,16-917-453-2490,3288.76,AUTOMOBILE,lithely about the furiously sil,40356,667,F,96997.24,1994-12-20,4-NOT SPECIFIED,Clerk#000000948,0,to the blithely final the,40356,1002,3,2,35.00,31605.00,0.04,0.07,A,F,1995-03-19,1995-02-08,1995-04-01,NONE,TRUCK,ar asymptotes nee
131,667,Customer#000000667,"oQqeEC,OD9XC1JXyOsHqcpv0fPUdP9ek5KKb70tQ",6,16-917-453-2490,3288.76,AUTOMOBILE,lithely about the furiously sil,40356,667,F,96997.24,1994-12-20,4-NOT SPECIFIED,Clerk#000000948,0,to the blithely final the,40356,363,92,3,49.00,61904.64,0.08,0.01,R,F,1995-04-01,1995-02-05,1995-04-16,NONE,MAIL,eas across the ideas m
132,680,Customer#000000680,TuONtFVII8TR2QtJyl1lS5f0iagaWWsBm1IQo,12,22-593-663-2200,4366.23,AUTOMOBILE,kages: final deposits believe unusual deposits: b,36960,680,F,16334.35,1995-03-09,4-NOT SPECIFIED,Clerk#000000868,0,sual pinto beans affix. quickly even accounts eat blithely,36960,550,11,1,12.00,17406.60,0.08,0.02,A,F,1995-04-26,1995-06-04,1995-05-13,COLLECT COD,SHIP,"deposits integrate. final, bold instru"
133,682,Customer#000000682,y5J0HJVI6Mb k4rXTAPbxE9aw,15,25-233-924-7389,7420.60,AUTOMOBILE,"he bold, even accounts breach",40485,682,F,131573.15,1994-12-28,4-NOT SPECIFIED,Clerk#000000135,0, nag quickly against the ruthlessly unusual packages. fluffi,40485,244,26,2,29.00,33182.96,0.03,0.03,R,F,1995-03-16,1995-03-24,1995-04-14,NONE,AIR,riously final pinto beans nag fur
134,682,Customer#000000682,y5J0HJVI6Mb k4rXTAPbxE9aw,15,25-233-924-7389,7420.60,AUTOMOBILE,"he bold, even accounts breach",40485,682,F,131573.15,1994-12-28,4-NOT SPECIFIED,Clerk#000000135,0, nag quickly against the ruthlessly unusual packages. fluffi,40485,878,45,3,8.00,14230.96,0.09,0.02,A,F,1995-03-15,1995-02-23,1995-04-05,TAKE BACK RETURN,MAIL,e. slyly even
135,682,Customer#000000682,y5J0HJVI6Mb k4rXTAPbxE9aw,15,25-233-924-7389,7420.60,AUTOMOBILE,"he bold, even accounts breach",40485,682,F,131573.15,1994-12-28,4-NOT SPECIFIED,Clerk#000000135,0, nag quickly against the ruthlessly unusual packages. fluffi,40485,1143,16,4,37.00,38633.18,0.00,0.06,A,F,1995-03-29,1995-03-02,1995-04-10,DELIVER IN PERSON,MAIL,. fluffily bold de
136,682,Customer#000000682,y5J0HJVI6Mb k4rXTAPbxE9aw,15,25-233-924-7389,7420.60,AUTOMOBILE,"he bold, even accounts breach",40485,682,F,131573.15,1994-12-28,4-NOT SPECIFIED,Clerk#000000135,0, nag quickly against the ruthlessly unusual packages. fluffi,40485,1365,42,5,30.00,37990.80,0.09,0.01,A,F,1995-03-31,1995-02-20,1995-04-21,TAKE BACK RETURN,MAIL, unusual deposits? slyly regu
137,692,Customer#000000692,"d6XE9sg,  wINvIz8aZS b8n XuhAQU5",19,29-804-421-1703,276.71,AUTOMOBILE,cuses. slyly even asymptotes doubt quickly. fluffily thin theodolites boost. ca,47203,692,F,144726.54,1994-12-19,1-URGENT,Clerk#000000709,0,c deposits affix furiously regular accounts. carefully ex,47203,487,17,1,22.00,30524.56,0.01,0.02,R,F,1995-03-23,1995-02-27,1995-03-29,TAKE BACK RETURN,RAIL,tructions along the fluffily ironic reques
138,692,Customer#000000692,"d6XE9sg,  wINvIz8aZS b8n XuhAQU5",19,29-804-421-1703,276.71,AUTOMOBILE,cuses. slyly even asymptotes doubt quickly. fluffily thin theodolites boost. ca,47203,692,F,144726.54,1994-12-19,1-URGENT,Clerk#000000709,0,c deposits affix furiously regular accounts. carefully ex,47203,1714,41,2,5.00,8078.55,0.09,0.03,R,F,1995-03-31,1995-02-10,1995-04-17,NONE,REG AIR,ording to the fluffily special dolphins. 
139,697,Customer#000000697,LFwdGCTUYDenZGoA9,4,14-613-651-2263,8121.84,AUTOMOBILE,he regular pinto beans. courts cajole carefully according to the blithely even theodolites. quickly,15040,697,F,191918.16,1994-12-05,5-LOW,Clerk#000000691,0,special decoys-- accounts a,15040,432,33,3,21.00,27981.03,0.10,0.08,R,F,1995-03-12,1995-02-19,1995-03-18,COLLECT COD,AIR,"regular, eve"
140,697,Customer#000000697,LFwdGCTUYDenZGoA9,4,14-613-651-2263,8121.84,AUTOMOBILE,he regular pinto beans. courts cajole carefully according to the blithely even theodolites. quickly,15040,697,F,191918.16,1994-12-05,5-LOW,Clerk#000000691,0,special decoys-- accounts a,15040,217,99,5,14.00,15640.94,0.06,0.01,R,F,1995-03-12,1995-01-11,1995-03-23,TAKE BACK RETURN,SHIP,latelets. pendin
141,697,Customer#000000697,LFwdGCTUYDenZGoA9,4,14-613-651-2263,8121.84,AUTOMOBILE,he regular pinto beans. courts cajole carefully according to the blithely even theodolites. quickly,49921,697,F,323725.08,1995-02-18,5-LOW,Clerk#000000296,0,xes wake. carefully pending instructions nag. slyly bold packages haggle al,49921,1755,40,2,44.00,72897.00,0.00,0.06,A,F,1995-03-28,1995-04-05,1995-04-07,TAKE BACK RETURN,AIR,olites haggle regular 
142,697,Customer#000000697,LFwdGCTUYDenZGoA9,4,14-613-651-2263,8121.84,AUTOMOBILE,he regular pinto beans. courts cajole carefully according to the blithely even theodolites. quickly,49921,697,F,323725.08,1995-02-18,5-LOW,Clerk#000000296,0,xes wake. carefully pending instructions nag. slyly bold packages haggle al,49921,1788,89,3,32.00,54072.96,0.00,0.06,A,F,1995-05-20,1995-03-23,1995-06-15,COLLECT COD,REG AIR,hely ironic pinto beans sleep furiousl
143,697,Customer#000000697,LFwdGCTUYDenZGoA9,4,14-613-651-2263,8121.84,AUTOMOBILE,he regular pinto beans. courts cajole carefully according to the blithely even theodolites. quickly,49921,697,F,323725.08,1995-02-18,5-LOW,Clerk#000000296,0,xes wake. carefully pending instructions nag. slyly bold packages haggle al,49921,1799,42,4,14.00,23811.06,0.08,0.07,A,F,1995-04-12,1995-05-09,1995-05-05,COLLECT COD,RAIL,sits nag about the pinto beans. qu
144,697,Customer#000000697,LFwdGCTUYDenZGoA9,4,14-613-651-2263,8121.84,AUTOMOBILE,he regular pinto beans. courts cajole carefully according to the blithely even theodolites. quickly,49921,697,F,323725.08,1995-02-18,5-LOW,Clerk#000000296,0,xes wake. carefully pending instructions nag. slyly bold packages haggle al,49921,353,54,6,29.00,36347.15,0.05,0.05,A,F,1995-04-29,1995-04-05,1995-05-13,NONE,REG AIR,cies. stealthily regular pin
145,697,Customer#000000697,LFwdGCTUYDenZGoA9,4,14-613-651-2263,8121.84,AUTOMOBILE,he regular pinto beans. courts cajole carefully according to the blithely even theodolites. quickly,49921,697,F,323725.08,1995-02-18,5-LOW,Clerk#000000296,0,xes wake. carefully pending instructions nag. slyly bold packages haggle al,49921,932,67,7,1.00,1832.93,0.01,0.08,R,F,1995-04-29,1995-04-24,1995-05-08,DELIVER IN PERSON,AIR,p; quickly pending deposits among th
146,704,Customer#000000704,41s9yU0ossOKgBvjPPSTZqhfciy,9,19-998-886-1551,441.44,AUTOMOBILE,"ously ironic instructions believe about the pending, regular deposits; final accounts cajole alongside of t",21635,704,F,67011.33,1994-12-03,5-LOW,Clerk#000000039,0,riously bold instructions sleep care,21635,83,9,3,17.00,16712.36,0.01,0.00,A,F,1995-03-21,1995-01-15,1995-04-03,DELIVER IN PERSON,REG AIR,anent dinos. quietly unusu
147,706,Customer#000000706,ycxysGDuWHN98FS4lZ2obT9ZPNRWjJTsHbQXvi,19,29-468-275-6045,6496.08,AUTOMOBILE,ses cajole furiously after the ironic requests. pinto beans sleep busi,22756,706,F,237321.74,1994-12-25,5-LOW,Clerk#000000462,0,ironic theodolites nag enticingly acr,22756,929,98,3,46.00,84176.32,0.00,0.04,A,F,1995-04-17,1995-03-04,1995-05-13,DELIVER IN PERSON,MAIL,"s. even, final dependencies "
148,724,Customer#000000724,dF80enl1y5MfccEMqYz0JSY,5,15-316-638-4703,3035.29,AUTOMOBILE,s. bold accounts about the carefully final packages detect slyly pending platele,32578,724,F,63264.41,1995-02-06,2-HIGH,Clerk#000000761,0,phs integrate slyly deposits-- quickly regular ,32578,926,27,1,34.00,62115.28,0.03,0.05,R,F,1995-05-17,1995-03-30,1995-06-06,NONE,MAIL,etect blithely accord
149,734,Customer#000000734,xULRxhbfzPT5nBh,18,28-880-175-5173,9750.71,AUTOMOBILE,"tions against the ideas haggle furiously quickly regular forges. carefully final requests solve even,",8290,734,F,128757.62,1994-12-10,1-URGENT,Clerk#000000202,0,ajole tithes. even excuses integrate blithely. fluffily,8290,802,2,2,3.00,5108.40,0.09,0.08,A,F,1995-04-01,1995-02-26,1995-04-29,TAKE BACK RETURN,MAIL,uffily along
150,734,Customer#000000734,xULRxhbfzPT5nBh,18,28-880-175-5173,9750.71,AUTOMOBILE,"tions against the ideas haggle furiously quickly regular forges. carefully final requests solve even,",8290,734,F,128757.62,1994-12-10,1-URGENT,Clerk#000000202,0,ajole tithes. even excuses integrate blithely. fluffily,8290,976,45,3,34.00,63816.98,0.10,0.01,A,F,1995-03-15,1995-02-28,1995-03-19,NONE,REG AIR,r requests
151,734,Customer#000000734,xULRxhbfzPT5nBh,18,28-880-175-5173,9750.71,AUTOMOBILE,"tions against the ideas haggle furiously quickly regular forges. carefully final requests solve even,",19654,734,F,125460.42,1995-01-10,2-HIGH,Clerk#000000646,0,nts. tithes sleep accordin,19654,1766,51,2,8.00,13342.08,0.07,0.05,A,F,1995-04-12,1995-04-06,1995-05-09,TAKE BACK RETURN,SHIP,ckly ironic packages? carefully
152,734,Customer#000000734,xULRxhbfzPT5nBh,18,28-880-175-5173,9750.71,AUTOMOBILE,"tions against the ideas haggle furiously quickly regular forges. carefully final requests solve even,",19654,734,F,125460.42,1995-01-10,2-HIGH,Clerk#000000646,0,nts. tithes sleep accordin,19654,1206,44,3,20.00,22144.00,0.01,0.05,A,F,1995-03-30,1995-03-31,1995-04-14,TAKE BACK RETURN,AIR,nusual deposits haggle ironically express
153,734,Customer#000000734,xULRxhbfzPT5nBh,18,28-880-175-5173,9750.71,AUTOMOBILE,"tions against the ideas haggle furiously quickly regular forges. carefully final requests solve even,",19654,734,F,125460.42,1995-01-10,2-HIGH,Clerk#000000646,0,nts. tithes sleep accordin,19654,153,6,4,27.00,28435.05,0.03,0.03,A,F,1995-04-29,1995-04-10,1995-05-25,TAKE BACK RETURN,TRUCK,ons wake express accoun
154,734,Customer#000000734,xULRxhbfzPT5nBh,18,28-880-175-5173,9750.71,AUTOMOBILE,"tions against the ideas haggle furiously quickly regular forges. carefully final requests solve even,",19654,734,F,125460.42,1995-01-10,2-HIGH,Clerk#000000646,0,nts. tithes sleep accordin,19654,514,5,5,18.00,25461.18,0.02,0.01,R,F,1995-05-03,1995-04-08,1995-05-08,NONE,MAIL,l deposits use: bl
155,770,Customer#000000770,IjwJR6TjBJZbKIeouH2d,8,18-856-112-5677,2066.79,AUTOMOBILE,"dolites haggle express, express requests. furiou",5191,770,F,156365.18,1994-12-11,4-NOT SPECIFIED,Clerk#000000318,0,"ing, regular deposits alongside of the deposits boost fluffily quickly ev",5191,1678,20,2,40.00,63186.80,0.02,0.01,A,F,1995-03-31,1995-02-21,1995-04-02,NONE,AIR,nes haggle sometimes. requests eng
156,770,Customer#000000770,IjwJR6TjBJZbKIeouH2d,8,18-856-112-5677,2066.79,AUTOMOBILE,"dolites haggle express, express requests. furiou",5191,770,F,156365.18,1994-12-11,4-NOT SPECIFIED,Clerk#000000318,0,"ing, regular deposits alongside of the deposits boost fluffily quickly ev",5191,1829,59,4,7.00,12115.74,0.01,0.04,A,F,1995-03-24,1995-01-30,1995-03-30,NONE,RAIL,eposits. express
157,776,Customer#000000776,"rzhIStRHsiWoc6K,7yv3YMqVdrz",15,25-941-650-8313,2669.01,AUTOMOBILE, express accounts. furiously ironic theodolites serve blithely. blithely thin packages are among the eve,359,776,F,214770.97,1994-12-19,3-MEDIUM,Clerk#000000934,0,n dolphins. special courts above the carefully ironic requests use,359,900,34,4,38.00,68434.20,0.10,0.08,R,F,1995-03-30,1995-01-20,1995-04-25,DELIVER IN PERSON,RAIL,"g furiously. regular, sile"
158,776,Customer#000000776,"rzhIStRHsiWoc6K,7yv3YMqVdrz",15,25-941-650-8313,2669.01,AUTOMOBILE, express accounts. furiously ironic theodolites serve blithely. blithely thin packages are among the eve,33088,776,F,169986.60,1994-12-24,4-NOT SPECIFIED,Clerk#000000525,0," around the regular, final ideas. furiously final instructions cajole f",33088,1662,86,1,17.00,26582.22,0.05,0.01,R,F,1995-04-24,1995-02-10,1995-04-29,COLLECT COD,TRUCK,ly regular ideas solve around the caref
159,776,Customer#000000776,"rzhIStRHsiWoc6K,7yv3YMqVdrz",15,25-941-650-8313,2669.01,AUTOMOBILE, express accounts. furiously ironic theodolites serve blithely. blithely thin packages are among the eve,33088,776,F,169986.60,1994-12-24,4-NOT SPECIFIED,Clerk#000000525,0," around the regular, final ideas. furiously final instructions cajole f",33088,1590,31,3,44.00,65629.96,0.03,0.00,A,F,1995-03-14,1995-03-19,1995-03-25,TAKE BACK RETURN,AIR,onic deposits. quickly special packages 
160,776,Customer#000000776,"rzhIStRHsiWoc6K,7yv3YMqVdrz",15,25-941-650-8313,2669.01,AUTOMOBILE, express accounts. furiously ironic theodolites serve blithely. blithely thin packages are among the eve,33088,776,F,169986.60,1994-12-24,4-NOT SPECIFIED,Clerk#000000525,0," around the regular, final ideas. furiously final instructions cajole f",33088,535,26,4,45.00,64598.85,0.10,0.06,A,F,1995-04-18,1995-02-20,1995-04-26,DELIVER IN PERSON,MAIL,riously final accounts affi
161,787,Customer#000000787,wwPe2vMZZ1n1Mm2z0qzDfS43FPj2Ndn,10,20-210-617-3870,212.16,AUTOMOBILE,e. ironic theodolites serve regular foxes. pending requests haggle slyly busy instruct,2114,787,F,159876.50,1995-01-16,5-LOW,Clerk#000000751,0,"r, unusual accounts haggle across the busy platelets. carefully ",2114,1851,38,2,26.00,45574.10,0.02,0.02,A,F,1995-04-30,1995-04-16,1995-05-28,NONE,SHIP,ar asymptotes sleep 
162,787,Customer#000000787,wwPe2vMZZ1n1Mm2z0qzDfS43FPj2Ndn,10,20-210-617-3870,212.16,AUTOMOBILE,e. ironic theodolites serve regular foxes. pending requests haggle slyly busy instruct,24160,787,F,58856.27,1995-02-02,3-MEDIUM,Clerk#000000831,0,its wake against the carefully even deposits. quickly qui,24160,1209,21,1,35.00,38857.00,0.00,0.05,A,F,1995-03-26,1995-04-22,1995-03-27,NONE,SHIP,e slyly about the a
163,787,Customer#000000787,wwPe2vMZZ1n1Mm2z0qzDfS43FPj2Ndn,10,20-210-617-3870,212.16,AUTOMOBILE,e. ironic theodolites serve regular foxes. pending requests haggle slyly busy instruct,24160,787,F,58856.27,1995-02-02,3-MEDIUM,Clerk#000000831,0,its wake against the carefully even deposits. quickly qui,24160,126,27,2,18.00,18470.16,0.06,0.04,A,F,1995-03-20,1995-03-25,1995-04-10,COLLECT COD,MAIL, even packages play furiou
164,820,Customer#000000820,xsYy3Nu7RhNYyBqL8dD0fONh,4,14-993-368-5047,-614.28,AUTOMOBILE,"g, final ideas. slyly ironic packages dazz",11043,820,F,102166.94,1995-02-20,1-URGENT,Clerk#000000196,0,dolphins. accounts are f,11043,1153,90,1,23.00,24245.45,0.03,0.06,R,F,1995-03-17,1995-04-30,1995-03-29,DELIVER IN PERSON,SHIP,the bold ideas sleep against the fur
165,820,Customer#000000820,xsYy3Nu7RhNYyBqL8dD0fONh,4,14-993-368-5047,-614.28,AUTOMOBILE,"g, final ideas. slyly ironic packages dazz",11043,820,F,102166.94,1995-02-20,1-URGENT,Clerk#000000196,0,dolphins. accounts are f,11043,1676,100,3,23.00,36286.41,0.04,0.03,R,F,1995-05-30,1995-05-19,1995-06-08,DELIVER IN PERSON,TRUCK,nooze furiously pen
166,820,Customer#000000820,xsYy3Nu7RhNYyBqL8dD0fONh,4,14-993-368-5047,-614.28,AUTOMOBILE,"g, final ideas. slyly ironic packages dazz",11043,820,F,102166.94,1995-02-20,1-URGENT,Clerk#000000196,0,dolphins. accounts are f,11043,1011,17,4,21.00,19152.21,0.01,0.05,R,F,1995-04-26,1995-04-29,1995-05-20,DELIVER IN PERSON,RAIL,ments. final requests sleep into the even
167,823,Customer#000000823,HuoOuJLxx7S8YDQhexfmIX,0,10-109-430-5638,738.79,AUTOMOBILE,l requests are against the slyly ironic pinto beans. blithely unusual packages wake alongsid,8775,823,F,62311.18,1995-02-04,1-URGENT,Clerk#000000167,0,ic dependencies! regular foxes nag carefu,8775,1360,61,1,50.00,63068.00,0.05,0.04,A,F,1995-05-17,1995-05-02,1995-06-06,DELIVER IN PERSON,REG AIR,ecial ideas sleep carefully amo
168,854,Customer#000000854,"flSR,SlEXwxrDcm3uedfK1Oiq,c9mZI",0,10-544-967-2382,3393.86,AUTOMOBILE,t slyly after the furiously even escapades. carefully regular pa,58592,854,F,146583.36,1995-02-05,4-NOT SPECIFIED,Clerk#000000678,0,"e slyly final, regular theodolites. packag",58592,1636,37,1,16.00,24602.08,0.03,0.03,N,F,1995-05-22,1995-03-28,1995-06-20,DELIVER IN PERSON,RAIL, upon the furiously special accounts. pend
169,854,Customer#000000854,"flSR,SlEXwxrDcm3uedfK1Oiq,c9mZI",0,10-544-967-2382,3393.86,AUTOMOBILE,t slyly after the furiously even escapades. carefully regular pa,58592,854,F,146583.36,1995-02-05,4-NOT SPECIFIED,Clerk#000000678,0,"e slyly final, regular theodolites. packag",58592,453,12,2,40.00,54138.00,0.09,0.06,R,F,1995-04-23,1995-04-24,1995-05-16,NONE,AIR,nto beans h
170,854,Customer#000000854,"flSR,SlEXwxrDcm3uedfK1Oiq,c9mZI",0,10-544-967-2382,3393.86,AUTOMOBILE,t slyly after the furiously even escapades. carefully regular pa,58592,854,F,146583.36,1995-02-05,4-NOT SPECIFIED,Clerk#000000678,0,"e slyly final, regular theodolites. packag",58592,1881,25,3,38.00,67749.44,0.00,0.03,A,F,1995-06-05,1995-05-04,1995-06-17,TAKE BACK RETURN,TRUCK,ove the final d
171,857,Customer#000000857,TFCCMlSEyrItYvEZy068NhrUxJz,5,15-856-649-3113,7537.16,AUTOMOBILE,g to the deposits cajole furiously final deposits. furiously silent dependencies agains,37927,857,F,257840.10,1995-01-26,4-NOT SPECIFIED,Clerk#000000502,0,"y special, express ideas. depend",37927,496,26,2,37.00,51670.13,0.04,0.07,R,F,1995-04-13,1995-03-17,1995-05-02,DELIVER IN PERSON,REG AIR,ts cajole. accounts sleep about the pa
172,857,Customer#000000857,TFCCMlSEyrItYvEZy068NhrUxJz,5,15-856-649-3113,7537.16,AUTOMOBILE,g to the deposits cajole furiously final deposits. furiously silent dependencies agains,37927,857,F,257840.10,1995-01-26,4-NOT SPECIFIED,Clerk#000000502,0,"y special, express ideas. depend",37927,1263,38,3,26.00,30270.76,0.07,0.03,A,F,1995-03-28,1995-03-09,1995-04-08,DELIVER IN PERSON,TRUCK,sual dependencies. furiously 
173,874,Customer#000000874,rdo knkGhtvpH6dbLkQon8QsrK1z4LFUpaVDTOn2,0,10-886-494-4217,5391.74,AUTOMOBILE,st the deposits. furiously even requests cajole slyly. bol,3110,874,F,148021.35,1994-12-17,2-HIGH,Clerk#000000564,0,round the fluffy instructions. carefully silent packages cajol,3110,565,26,2,31.00,45432.36,0.01,0.06,R,F,1995-03-31,1995-03-07,1995-04-21,TAKE BACK RETURN,REG AIR,en deposits. ironic
174,898,Customer#000000898,"JrvrIEzAre,VJzJCi3SEmib1T2,YVXVvOGxaVZwR",3,13-265-738-4361,8137.24,AUTOMOBILE,s haggle around the special dependencies. slyly regular requests are according to the idly sly ideas! fluffily final,36197,898,F,230803.93,1995-01-25,4-NOT SPECIFIED,Clerk#000000971,0,ckly express ideas sleep against the fur,36197,740,37,1,45.00,73833.30,0.03,0.01,R,F,1995-03-17,1995-03-03,1995-03-26,DELIVER IN PERSON,FOB,tain carefully re
175,898,Customer#000000898,"JrvrIEzAre,VJzJCi3SEmib1T2,YVXVvOGxaVZwR",3,13-265-738-4361,8137.24,AUTOMOBILE,s haggle around the special dependencies. slyly regular requests are according to the idly sly ideas! fluffily final,36197,898,F,230803.93,1995-01-25,4-NOT SPECIFIED,Clerk#000000971,0,ckly express ideas sleep against the fur,36197,1155,92,2,29.00,30628.35,0.06,0.00,R,F,1995-05-11,1995-03-18,1995-05-20,NONE,FOB,e carefully final decoys. express asympto
176,898,Customer#000000898,"JrvrIEzAre,VJzJCi3SEmib1T2,YVXVvOGxaVZwR",3,13-265-738-4361,8137.24,AUTOMOBILE,s haggle around the special dependencies. slyly regular requests are according to the idly sly ideas! fluffily final,36197,898,F,230803.93,1995-01-25,4-NOT SPECIFIED,Clerk#000000971,0,ckly express ideas sleep against the fur,36197,936,5,3,40.00,73477.20,0.07,0.04,R,F,1995-03-31,1995-03-25,1995-04-22,COLLECT COD,FOB,totes. slowl
177,898,Customer#000000898,"JrvrIEzAre,VJzJCi3SEmib1T2,YVXVvOGxaVZwR",3,13-265-738-4361,8137.24,AUTOMOBILE,s haggle around the special dependencies. slyly regular requests are according to the idly sly ideas! fluffily final,36197,898,F,230803.93,1995-01-25,4-NOT SPECIFIED,Clerk#000000971,0,ckly express ideas sleep against the fur,36197,1457,75,4,47.00,63847.15,0.10,0.02,A,F,1995-04-28,1995-03-06,1995-04-30,DELIVER IN PERSON,MAIL,lithely even requests cajole after 
178,898,Customer#000000898,"JrvrIEzAre,VJzJCi3SEmib1T2,YVXVvOGxaVZwR",3,13-265-738-4361,8137.24,AUTOMOBILE,s haggle around the special dependencies. slyly regular requests are according to the idly sly ideas! fluffily final,48899,898,F,240474.36,1995-01-19,2-HIGH,Clerk#000000441,0,. carefully bold instructi,48899,325,54,2,24.00,29407.68,0.07,0.06,A,F,1995-03-11,1995-03-16,1995-03-30,NONE,MAIL,ke quickly upon the fin
